Name,Location,Price,Area,Rooms,Interior
Flat Kinderdijkstraat,1079 GN Amsterdam (Rijnbuurt),"€2,500 per month",65 m²,2 rooms,Upholstered
Flat Stuyvesantstraat,1058 AK Amsterdam (Westindische Buurt),"€2,800 per month",50 m²,3 rooms,Upholstered
Flat Oostenburgermiddenstraat,1018 LH Amsterdam (Oostelijke Eilanden/Kadijken),"€1,272 per month",45 m²,2 rooms,
Flat Alexander Boersstraat,1071 KV Amsterdam (Museumkwartier),"€4,750 per month",135 m²,3 rooms,Upholstered or furnished
Flat Valkenstein,1082 BN Amsterdam (Buitenveldert-West),€860 per month,75 m²,4 rooms,
Flat Karspeldreef,1101 CK Amsterdam (Amstel III/Bullewijk),"€1,306 per month",50 m²,2 rooms,
Flat De Liefde 1,1052 MZ Amsterdam (Da Costabuurt),"€2,400 per month",87 m²,3 rooms,Shell
Flat Theodorus Majofskistraat,1065 SR Amsterdam (Slotervaart-Zuid),"€1,850 per month",73 m²,4 rooms,
Flat Van Woustraat 115 1,1074 AH Amsterdam (Nieuwe Pijp),"€2,600 per month",53 m²,2 rooms,
Flat Rubensstraat,1077 MT Amsterdam (Apollobuurt),"€5,250 per month",175 m²,6 rooms,Upholstered
Flat Sporadenlaan,1060 MN Amsterdam (De Aker),"€1,875 per month",52 m²,2 rooms,Furnished
Flat Bestevâerstraat,1056 HE Amsterdam (Geuzenbuurt),"€2,650 per month",77 m²,3 rooms,Furnished
Flat De Lairessestraat 172 F,1075 HM Amsterdam (Willemspark),"€4,000 per month",106 m²,3 rooms,Upholstered
Flat Overtoom,1054 LN Amsterdam (Overtoomse Sluis),"€2,700 per month",93 m²,4 rooms,
Flat Galjootstraat 150,1086 VE Amsterdam (IJburg-West),"€2,450 per month",79 m²,3 rooms,Furnished
Flat Griseldestraat 17 H,1055 AR Amsterdam (Erasmuspark),"€3,250 per month",100 m²,4 rooms,Furnished
Flat Krommertstraat,1056 TS Amsterdam (Geuzenbuurt),"€1,825 per month",30 m²,1 room,Upholstered
Flat Maarten Harpertszoon Trompstraat,1056 JA Amsterdam (Geuzenbuurt),"€3,975 per month",171 m²,4 rooms,
Flat Amstelveenseweg,1075 VZ Amsterdam (Willemspark),"€2,500 per month",60 m²,3 rooms,Furnished
Flat Rijnlandlaan,1062 MX Amsterdam (Westlandgracht),"€2,650 per month",89 m²,3 rooms,
Flat Hortusplantsoen,1018 TZ Amsterdam (Weesperbuurt/Plantage),"€2,450 per month",72 m²,3 rooms,Furnished
Flat Noorderstraat 71 C,1017 TT Amsterdam (De Weteringschans),"€2,750 per month",62 m²,3 rooms,Upholstered or furnished
Flat Karel Klinkenbergstraat 1 M,1061 AH Amsterdam (Overtoomse Veld),"€2,650 per month",76 m²,3 rooms,Furnished
Flat Marnixstraat,1016 XX Amsterdam (Jordaan),"€2,575 per month",63 m²,3 rooms,Upholstered
Flat Nida Senffstraat,1095 MX Amsterdam (Zeeburgereiland/Bovendiep),"€2,375 per month",64 m²,3 rooms,Upholstered
Flat Valkhof,1082 VG Amsterdam (Buitenveldert-West),"€2,350 per month",70 m²,3 rooms,Furnished
Flat Weteringschans,1017 XH Amsterdam (De Weteringschans),"€2,850 per month",120 m²,5 rooms,
Flat Lange Leidsedwarsstraat,1017 NG Amsterdam (De Weteringschans),"€2,850 per month",76 m²,2 rooms,Shell
Flat Davisstraat 28 H,1057 TK Amsterdam (Hoofdweg e.o.),"€2,400 per month",70 m²,3 rooms,Furnished
Flat Okeghemstraat,1075 PP Amsterdam (Willemspark),"€2,450 per month",57 m²,3 rooms,Upholstered
Flat Van Ollefenstraat 46,1065 LK Amsterdam (Slotervaart-Zuid),"€1,875 per month",80 m²,3 rooms,
Flat Nassaukade,1054 AB Amsterdam (Helmersbuurt),"€3,000 per month",65 m²,2 rooms,Furnished
Flat Willem Schoutenstraat,1057 DL Amsterdam (Hoofdweg e.o.),"€2,495 per month",100 m²,3 rooms,Furnished
Flat Haringbuisdijk,1086 VA Amsterdam (IJburg-West),"€3,750 per month",115 m²,3 rooms,Furnished
Flat Rijnstraat,1078 RB Amsterdam (IJselbuurt),"€4,900 per month",93 m²,5 rooms,Shell
Flat Nachtwachtlaan,1058 ES Amsterdam (Overtoomse Veld),"€1,750 per month",59 m²,2 rooms,Furnished
Flat Vrouwengelukhof 95,1061 BS Amsterdam (De Kolenkit),"€1,526 per month",76 m²,3 rooms,Shell
Flat Tweede Jan Steenstraat 25 3,1073 VL Amsterdam (Oude Pijp),"€2,590 per month",65 m²,3 rooms,Upholstered
Flat Uilenburgerwerf,1011 MZ Amsterdam (Nieuwmarkt/Lastage),"€3,100 per month",95 m²,3 rooms,Furnished
Flat Karspeldreef,1101 CK Amsterdam (Amstel III/Bullewijk),"€1,306 per month",55 m²,2 rooms,
